Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4515454081660383,116377 | 8524638 | 127898 | 72 | FWG4577,mc,2018-12-26 20:54:08,BRST,RefundedInstallment,4715458647944502,BRL,95.70,,1,BRL,95.70,,,,,,,,,mccredit,91,,,,,,,,Refund Request bookingId 116377
TurbiBR,TurbiBRCOM,4615456459251868,116631 | 8526112 | 128152 | 1 | GDC4895,mc,2018-12-26 19:57:52,BRST,SettledInstallment,4615458614209831,BRL,,475.01,1,BRL,,0.00,13.06,,,,461.95,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116631
TurbiBR,TurbiBRCOM,4815458139211971,116712 | 8528589 | 128233 | 5 | FSN3833,mc,2018-12-26 18:52:59,BRST,SettledInstallment,4515458575216842,BRL,,273.50,1,BRL,,0.00,7.52,,,,265.98,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116712
TurbiBR,TurbiBRCOM,4615455685741015,116575 | 8508474 | 128096 | 29 | GKH1148,mc,2018-12-26 16:52:57,BRST,SettledInstallment,4715458503221771,BRL,,333.96,1,BRL,,0.00,9.18,,,,324.78,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116575
TurbiBR,TurbiBRCOM,4315458130505236,116711 | 8524218 | 128232 | 42 | GCE5762,mc,2018-12-26 07:08:04,BRST,SettledInstallment,1515458152316029,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116711
TurbiBR,TurbiBRCOM,1715457914939571,116710 | 8526200 | 128231 | 27 | GIE0915,mc,2018-12-26 03:02:55,BRST,SettledInstallment,1515458005216582,BRL,,118.23,1,BRL,,0.00,3.25,,,,114.98,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116710
TurbiBR,TurbiBRCOM,1315456437575098,116625 | 8500156 | 128146 | 57 | FXD8307,mc,2018-12-26 08:30:50,BRST,RefundedInstallment,4515458201896371,BRL,50.00,,1,BRL,50.00,,,,,,,,,mccredit,91,,,,,,,,Refund Request bookingId 116625
TurbiBR,TurbiBRCOM,4325479278177917,118946 | 8531724 | 130312 | 68 | GFT7592,mc,2019-01-20 00:56:00,BRST,SettledInstallment,1525479529018104,BRL,,89.70,1,BRL,,87.23,2.47,,,,,,,mcpremiumcredit,91,,,,,,,,Capture Request bookingId 118946
TurbiBR,TurbiBRCOM,4645458390572299,116741 | 8502401 | 128262 | 20 | FUD3683,mc,2018-12-26 17:37:56,BRST,SettledInstallment,4845458530200080,BRL,,36.44,1,BRL,,0.00,1.00,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116741
TurbiBR,TurbiBRCOM,4545456147147929,116609 | 8503837 | 128130 | 44 | FOM1229,mc,2018-12-25 21:22:43,BRST,SettledInstallment,1645457801218035,BRL,,295.50,1,BRL,,0.00,8.13,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116609
